title,location,askingprice,cashflow,grossrevenue,EBITDA,FF&E,inventory,year_estd
"IT(Helpdesk, system admin) marketplace with unicorn clients","Sunnyvale, CA (Santa Clara County)","$825,000","$226,400","$550,600",N/A,N/A,N/A,"2020
                        "
"Amazon FBA eCommerce Business, Established - Fun - Fully Online","Tampa, FL (Hillsborough County) (Relocatable)","$1,500,000",N/A,"$510,000",N/A,N/A,"$12,000","2020
                        "
Aromatherapy Essential Oil Jewelry Online Website + Etsy Shop,,"$55,000","$20,000","$110,000",N/A,N/A,"$40,000","2016
                        "
"TECHY CAFE - Electronics Repair & Cafe shop - Miami, FL","Miami, FL (Miami-Dade County)","$195,000",N/A,N/A,N/A,N/A,"$60,000","2021
                        "
"$141,600  Amazon Pet Food & Supplies (Fully Staffed/Run-For-You)","Chicago, IL (Cook County) (Relocatable)","$84,960","$65,136","$141,600","$56,640",N/A,N/A,"2021
                        "
Digital Marketing Agency In USA & Canada For Sale!,Alberta Canada (Relocatable),"$215,000","$55,000","$350,890",N/A,"$169,000",N/A,"2016
                        "
"BUY/SELL/TRADE - Electronics Repair & Retail Store- Miami, FL","Miami, FL (Miami-Dade County)","$125,000",N/A,N/A,N/A,N/A,"$10,000","2021
                        "
Powerful Creative Business Agency - Priced to Sell - Well Established,Ohio,"$25,000","$65,000","$85,000",N/A,N/A,N/A,"2013
                        "
Arizona Managed IT Services Provider (MSP) for sale,Arizona,"$1,400,000","$250,000","$1,500,000",N/A,"$90,000","$30,000","$2,400 per Month
                        "
"BUY/SELL/TRADE - Electronics Repair & Retail Store- Leesburg, FL","Lake County, FL","$50,000",N/A,N/A,N/A,N/A,N/A,"N/A 
                        "
Leading Online Clothing Retailer for 20+ Years,"Exton, PA (Chester County) (Relocatable)","$550,000","$224,000","$1,012,385","$149,891","$27,500","$66,000","$1,915 per Month
                        "
"BUY/SELL/TRADE - Electronics Repair & Retail Store- Doral, FL","Doral, FL (Miami-Dade County)","$125,000",N/A,N/A,N/A,N/A,"$10,000","2021
                        "
ZAHLII SLEEP specializes in sustainably made Intimates and Loungewear.,"Byron Bay, Australia","$180,000",N/A,N/A,N/A,N/A,"$20,000","2017
                        "
"2 metro by T-Mobile stores in Bronx ,NY","The Bronx, NY (Bronx County)","$800,000",N/A,N/A,N/A,N/A,N/A,"N/A 
                        "
Restaurant Equipment Showroom,"Muscogee County, GA","$895,000",N/A,N/A,N/A,N/A,N/A,"2003
                        "
"At Home Business - Amazon, Walmart FBA Personalized eCommerce Brand","New Smyrna Beach, FL (Volusia County)","$199,000","$220,000","$411,094",N/A,"$5,000","$63,000*","2010
                        "
100% Amazon FBA eCom Online Business - Own Popular Brands (TurnKey),"Hatfield, PA (Montgomery County)","$2,000,000","$60,000","$1,200,000",N/A,N/A,"$90,000","2018
                        "
Information Technology Training Center For Sale,"Lauderhill, FL (Broward County)","$100,000",N/A,N/A,N/A,N/A,"$55,000","$3,500 per Month
                        "
"BUY/SELL/TRADE - Electronics Repair & Retail Store- Wellington,FL","Wellington, FL (Palm Beach County)","$135,000",N/A,N/A,N/A,N/A,"$10,000","2021
                        "
"$602,500 Amazon Household Furniture Brand (Fully Staffed/Run-For-You)","Los Angeles, CA (Los Angeles County) (Relocatable)","$382,287","$254,857","$602,500","$101,943",N/A,N/A,"2018
                        "
Indoor Digital Billboard Network,"Chattanooga, TN (Hamilton County)","$73,500",N/A,N/A,N/A,N/A,N/A,"N/A
                        "
Unique Photography Product ~ over $45k inventory ~ shopify store,,"$17,500",N/A,N/A,N/A,N/A,N/A,"2020
                        "
Two for One Technology Business With Established Book Of Business,"Ocala, FL (Marion County)","$450,000","$125,000","$200,000",N/A,N/A,"$20,000","2019
                        "
"TECHY CAFE - Electronics Repair & Cafe shop - Pinellas Park, FL","Pinellas Park, FL (Pinellas County)","$195,000",N/A,N/A,N/A,N/A,N/A,"N/A 
                        "
"BUY/SELL/TRADE- Electronics Repair & Retail Store- Deerfield Beach, FL","Deerfield Beach, FL (Broward County)","$110,000",N/A,N/A,N/A,N/A,N/A,"N/A 
                        "
"Car Dealer + Online sales, $6 million revenues, asking 2X EBITDA!","Clark County, NV (Relocatable)","$800,000",N/A,"$6,000,000","$400,000","$100,000",N/A,"$3,000,000*
                        "
"Powerful Supplement Site - Brain Health, & Body Restoration",,"$785,000","$166,657","$344,818",N/A,N/A,N/A,"2017
                        "
Amazon FBA Wholesale Brand,Florida (Relocatable),"$30,000","$250,000","$150,000",N/A,N/A,N/A,"2020
                        "
"Turnkey CBD Biz: Extraction Equipment, E-Com, Established CBD Brand",North Carolina (Relocatable),"$395,000","$50,000","$90,000",N/A,"$220,000","$15,000","2019
                        "
Thriving Advertising and Public Relations firm for sale,"Bellevue, WA (King County) (Relocatable)","$1,950,000","$2,909,323","$3,203,230","$2,102,933",N/A,"$2,100,000","1993
                        "
Metro by T-Mobile Authorized Dealer - 6 Locations!,"Indianapolis, IN (Marion County)","$385,000","$278,711","$5,500,000",N/A,"$80,000","$80,000*","$8,600 per Month
                        "
$21k+/m profit. Easy to manage DTC Ecommerce Brand. Turn Key Setup.,"Fort Lauderdale, FL (Broward County)","$380,000","$253,736","$801,954",N/A,N/A,"$25,000","2020
                        "
"Baby Feeding Essentials- Featured in Good Morning America-$70,000","Brooklyn, NY (Kings County) (Relocatable)","$70,000","$64,000","$103,000","$32,000","$1,200","$24,000","2018
                        "
"TECHY CAFE - Electronics Repair & Cafe shop- San Antonio,TX","San Antonio, TX (Bexar County)","$195,000",N/A,N/A,N/A,N/A,N/A,"N/A 
                        "
"Cell Phone, Tablet, & Laptop Repair Business in Need of Marketing Guru","Chicago, IL (Cook County)","$30,000",N/A,"$390,000",N/A,"$3,000","$25,000","$3,900 per Month
                        "
"BUY/SELL/TRADE - Electronics Repair Business- Oldsmar, FL","Oldsmar, FL (Pinellas County)","$150,000",N/A,N/A,N/A,N/A,"$10,000","2017
                        "
Profitable Software/Marketplace Online Ordering for Restaurants,Virginia (Relocatable),"$650,000",N/A,"$125,000","$100,000",N/A,N/A,"2012
                        "
"Established, Premium Motorsports Artwork Brand - Ecommerce","Dallas, TX (Dallas County) (Relocatable)","$425,000","$120,000","$400,000","$120,000","$70,000","$10,000","2010
                        "
Rapidly Growing SAAS FinTech Lending Software,Wisconsin (Relocatable),"$500,000","$110,000",N/A,N/A,N/A,N/A,"2020
                        "
Sale Pending: Rustic Mens Watch & Apparel Brand (15 store locations),"Pine, CO (Jefferson County)","$80,000","$25,000","$36,000",N/A,"$2,000","$12,000","2020
                        "
"Successful Amazon Business (Home-based, Location-Independent)","Phoenix, AZ (Maricopa County) (Relocatable)","$1,900,000",N/A,N/A,"$505,000",N/A,"$40,000","2020
                        "
"EXISTING Employment Screening Company/$212,000 Gross/$85,000 Net!!!","Boston, MA (Suffolk County)","$420,000","$85,000","$212,000","$85,000",N/A,N/A,"2017
                        "
"#1 Local Buy, Sell, Trade, Service & Repair Tech Store!","West Sacramento, CA (Yolo County)","$300,000",N/A,"$415,000","$150,000","$25,000","$50,000","$1,060 per Month
                        "
"EXISTING Employment Screening Company/$212,000 Gross/$85,000 Net!!!","San Diego, CA (San Diego County)","$420,000","$85,000","$212,000","$85,000",N/A,N/A,"2017
                        "
"EXISTING Employment Screening Company/$212,000 Gross/$85,000 Net!!!","Denver, CO (Arapahoe County) (Relocatable)","$420,000","$85,000","$212,000","$85,000",N/A,N/A,"N/A
                        "
"Powerful Branded 4yr old Estab. Crowdfunding Agency, Ranking Page #1",New York,"$25,000","$120,000","$100,000",N/A,N/A,N/A,"2018
                        "
Successful and Profitable Men’s Grooming FBA business,"London, United Kingdom","$240,000","$57,517","$199,310",N/A,N/A,"$65,000","2019
                        "
"Established Tech Firm, Infrastructure Included","Tampa, FL (Hillsborough County) (Relocatable)","$549,000","$120,000","$260,000","$120,000",N/A,N/A,"$2,000 per Month
                        "
"EXISTING Employment Screening Company/$212,000 Gross/$85,000 Net!!!","Little Rock Afb, AR (Pulaski County)","$420,000","$85,000","$212,000","$85,000",N/A,N/A,"2017
                        "
Telecom Company,"Wayzata, MN (Hennepin County)","$450,000",N/A,"$500,000",N/A,N/A,N/A,"N/A
                        "
