Link,Title,Location,Asking Price,Cash Flow,Gross Revenue,EBITDA,FF&E,Inventory
https://www.bizbuysell.com/Business-Opportunity/successful-and-profitable-men-s-grooming-fba-business/1989886/?d=undefined,"
                    Successful and Profitable Men’s Grooming FBA business
                ","
                    London, United Kingdom
                    
                ","$179,999
                        ","$57,517
                        ","$199,310
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/2-metro-by-t-mobile-stores-in-bronx-ny/1988817/?d=undefined,"
                    2 metro by T-Mobile stores in Bronx ,NY
                ","
                    The Bronx, NY (Bronx County)
                    
                ","$800,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/established-tech-firm-infrastructure-included/1283414/?d=undefined,"
                    Established Tech Firm, Infrastructure Included
                ","
                    Tampa, FL (Hillsborough County) (Relocatable)
                    
                ","$549,000
                        ","$120,000
                        ","$260,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/existing-employment-screening-company-212-000-gross-85-000-net/1853082/?d=undefined,"
                    EXISTING Employment Screening Company/$212,000 Gross/$85,000 Net!!!
                ","
                    Little Rock Afb, AR (Pulaski County)
                    
                ","$420,000
                        ","$85,000
                        ","$212,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/existing-employment-screening-company-212-000-gross-85-000-net/1853086/?d=undefined,"
                    EXISTING Employment Screening Company/$212,000 Gross/$85,000 Net!!!
                ","
                    Denver, CO (Arapahoe County) (Relocatable)
                    
                ","$420,000
                        ","$85,000
                        ","$212,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/existing-employment-screening-company-212-000-gross-85-000-net/1853058/?d=undefined,"
                    EXISTING Employment Screening Company/$212,000 Gross/$85,000 Net!!!
                ","
                    Boston, MA (Suffolk County)
                    
                ","$420,000
                        ","$85,000
                        ","$212,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/buy-sell-trade-electronics-repair-and-retail-store-miami-fl/1606914/?d=undefined,"
                    BUY/SELL/TRADE - Electronics Repair & Retail Store- Miami, FL
                ","
                    Miami, FL (Miami-Dade County)
                    
                ","$125,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/established-amazon-account-doing-250k-a-year/2014110/?d=undefined,"
                    Established Amazon Account doing 250k a year.
                ","
                    Lindon, UT (Utah County) (Relocatable)
                    
                ","$500,000
                        ",,"$267,000
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/it-helpdesk-system-admin-marketplace-with-unicorn-clients/2007311/?d=undefined,"
                    IT(Helpdesk, system admin) marketplace with unicorn clients
                ","
                    Sunnyvale, CA (Santa Clara County)
                    
                ","$825,000
                        ","$226,400
                        ","$550,600
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/profitable-repair-buy-and-sell-cellphones-inside-super-walmart/1989423/?d=undefined,"
                    Profitable Repair / Buy & Sell Cellphones inside Super Walmart
                ","
                    Boynton Beach, FL (Palm Beach County)
                    
                ","$85,000
                        ",,"$204,000
                        ","N/A
                        ","$28,000
                        ","$18,000*
                        "
https://www.bizbuysell.com/Business-Opportunity/fba-store-for-sale-550k-cash-flow/1956581/?d=undefined,"
                    FBA Store For Sale (~$550k Cash Flow)
                ","
                    Austin, KS (Travis County)
                    
                ","$1,500,000
                        ","$548,552
                        ","$3,284,993
                        ",,"N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/powerful-supplement-site-brain-health-and-body-restoration/1992475/?d=undefined,"
                    Powerful Supplement Site - Brain Health, & Body Restoration
                ","
                    
                    
                ","$785,000
                        ","$166,657
                        ","$344,818
                        ","N/A
                        ","N/A
                        ",
https://www.bizbuysell.com/Business-Opportunity/buy-sell-trade-electronics-repair-and-retail-store-deerfield-beach-fl/2003221/?d=undefined,"
                    BUY/SELL/TRADE- Electronics Repair & Retail Store- Deerfield Beach, FL
                ","
                    Deerfield Beach, FL (Broward County)
                    
                ","$110,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/techy-cafe-electronics-repair-and-cafe-shop-pinellas-park-fl/2003242/?d=undefined,"
                    TECHY CAFE - Electronics Repair & Cafe shop - Pinellas Park, FL
                ","
                    Pinellas Park, FL (Pinellas County)
                    
                ","$195,000
                        ",,"N/A
                        ","N/A
                        ",,
https://www.bizbuysell.com/Business-Opportunity/women-s-high-quality-workout-and-yoga-activewear-shopify-ecommerce-brand/2014400/?d=undefined,"
                    Women's High Quality Workout & Yoga Activewear Shopify ECommerce Brand
                ","
                    Los Angeles, CA (Los Angeles County)
                    
                ","$349,999
                        ",,"$144,254
                        ","N/A
                        ","N/A
                        ",
