name,price,link,promo
AMD Ryzen 5 5600 - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.5 GHz Socket AM4 65W Desktop Processor - 100-100000927BOX,199.00,https://www.newegg.com/amd-ryzen-5-5600-ryzen-5-5000-series/p/N82E16819113736,"+ $20 off w/ promo code EREBV2322, limited offer"
Intel Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K,199.00,https://www.newegg.com/intel-core-i9-12900k-core-i9-12th-gen/p/N82E16819118339,"+ $25 off w/ promo code SSBV2332, limited offer"
AMD Ryzen 5 5600X - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.7 GHz Socket AM4 65W Desktop Processor - 100-100000065BOX,199.00,https://www.newegg.com/amd-ryzen-5-5600x/p/N82E16819113666,
Intel Core i7-11700K - Core i7 11th Gen Rocket Lake 8-Core 3.6 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811700K,199.00,https://www.newegg.com/intel-core-i7-11700k-core-i7-11th-gen/p/N82E16819118233,"Get Arcadegeddon Bundle w/ purchase, limited offer"
AMD Ryzen 7 5700X - Ryzen 7 5000 Series 8-Core Socket AM4 65W Desktop Processor - 100-100000926WOF,199.00,https://www.newegg.com/amd-ryzen-7-5700x-ryzen-7-5000-series/p/N82E16819113735,
Intel Core i5-12400F - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Desktop Processor - BX8071512400F,199.00,https://www.newegg.com/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118360,
AMD Ryzen 9 5900X - Ryzen 9 5000 Series Vermeer (Zen 3) 12-Core 3.7 GHz Socket AM4 105W Desktop Processor - 100-100000061WOF,199.00,https://www.newegg.com/amd-ryzen-9-5900x/p/N82E16819113664,
Intel Core i5-12600K - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512600K,199.00,https://www.newegg.com/intel-core-i5-12600k-core-i5-12th-gen/p/N82E16819118347,"Get Arcadegeddon Bundle w/ purchase, limited offer"
AMD Ryzen 5 5500 - Ryzen 5 5000 Series 6-Core Socket AM4 65W Desktop Processor - 100-100000457BOX,199.00,https://www.newegg.com/amd-ryzen-5-5500-ryzen-5-5000-series/p/N82E16819113737,
Intel Core i9-11900K - Core i9 11th Gen Rocket Lake 8-Core 3.5 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811900K,199.00,https://www.newegg.com/intel-core-i9-11900k-core-i9-11th-gen/p/N82E16819118231,"Get Arcadegeddon Bundle w/ purchase, limited offer"
